Date,Input_Hoa_Binh,Yen_Bai,Vu_Quang,Evaporation,Demand,H_Up (m),Energy_demand,Qtu_(m3/s),Qbot_(m3/s),Qspill_(m3/s),Q_Sơn Tây,Q_Hà Nội,H Hà Nội
2077-09-30,1674.13,734.04,568.39,0.01,370.0,94.31,30477.35,1495.64,33.64,0.0,5071.6,4220.31,465.11
2077-10-01,1486.86,620.62,651.13,0.01,370.0,95.37,29763.38,1458.45,63.64,0.0,3085.93,2653.24,423.87
2077-10-02,1505.67,854.69,781.99,0.01,370.0,96.0,29307.68,1439.64,0.0,0.0,2881.04,2262.74,446.54
2077-10-03,1477.68,714.4,550.83,0.01,370.0,96.11,26994.76,1317.82,0.0,0.0,3937.51,2243.67,429.5
2077-10-04,1362.69,928.83,443.68,0.01,370.0,96.38,26486.05,1294.18,80.91,0.0,3142.47,2486.95,334.3
2077-10-05,3217.36,506.91,609.29,0.01,370.0,97.98,26843.58,1319.27,784.55,0.0,3180.84,2518.74,451.8
2077-10-06,1701.35,788.8,686.0,0.01,370.0,96.61,27089.98,1328.36,368.64,0.0,4750.5,1785.56,323.22
2077-10-07,1208.5,732.62,336.5,0.01,370.0,95.88,27381.87,1339.45,16.36,0.0,3119.82,2816.14,461.13
2077-10-08,1392.02,656.87,520.19,0.01,370.0,97.37,27089.31,1322.36,0.0,0.0,3836.03,2039.9,435.67
2077-10-09,1317.96,694.73,523.99,0.01,370.0,97.72,27496.76,1339.73,33.64,0.0,3271.89,2482.46,338.73
2077-10-10,1622.88,809.52,559.39,0.01,388.0,95.09,27024.86,1312.91,195.45,0.0,3025.46,2320.99,365.55
2077-10-11,2097.31,604.01,622.9,0.01,388.0,97.22,25839.04,1259.91,430.91,0.0,4048.35,2083.08,346.42
2077-10-12,1288.97,827.39,587.87,0.01,388.0,97.4,25124.29,1232.73,645.45,0.0,2943.81,2791.62,377.16
2077-10-13,2105.25,743.68,541.81,0.01,388.0,96.43,24810.14,1214.09,510.73,0.0,3850.89,2437.13,375.34
2077-10-14,1583.98,741.49,473.81,0.01,388.0,98.23,25427.73,1240.64,282.27,0.0,3362.1,2636.88,418.09
