Date,Input_Hoa_Binh,Yen_Bai,Vu_Quang,Evaporation,Demand,H_Up (m),Energy_demand,Qtu_(m3/s),Qbot_(m3/s),Qspill_(m3/s),Q_Sơn Tây,Q_Hà Nội,H Hà Nội
2077-09-30,1674.13,734.04,568.39,0.01,425.5,110.95,30477.35,1495.64,33.64,0.0,5071.6,4220.31,465.11
2077-10-01,1486.86,620.62,651.13,0.01,425.5,112.2,29763.38,1458.45,63.64,0.0,3085.93,2653.24,423.87
2077-10-02,1505.67,854.69,781.99,0.01,425.5,112.94,29307.68,1439.64,0.0,0.0,2881.04,2262.74,446.54
2077-10-03,1477.68,714.4,550.83,0.01,425.5,113.07,26994.76,1317.82,0.0,0.0,3937.51,2243.67,429.5
2077-10-04,1362.69,928.83,443.68,0.01,425.5,113.39,26486.05,1294.18,80.91,0.0,3142.47,2486.95,334.3
2077-10-05,3217.36,506.91,609.29,0.01,425.5,115.27,26843.58,1319.27,784.55,0.0,3180.84,2518.74,451.8
2077-10-06,1701.35,788.8,686.0,0.01,425.5,113.66,27089.98,1328.36,368.64,0.0,4750.5,1785.56,323.22
2077-10-07,1208.5,732.62,336.5,0.01,425.5,112.8,27381.87,1339.45,16.36,0.0,3119.82,2816.14,461.13
2077-10-08,1392.02,656.87,520.19,0.01,425.5,114.56,27089.31,1322.36,0.0,0.0,3836.03,2039.9,435.67
2077-10-09,1317.96,694.73,523.99,0.01,425.5,114.97,27496.76,1339.73,33.64,0.0,3271.89,2482.46,338.73
2077-10-10,1622.88,809.52,559.39,0.01,446.2,111.87,27024.86,1312.91,195.45,0.0,3025.46,2320.99,365.55
2077-10-11,2097.31,604.01,622.9,0.01,446.2,114.38,25839.04,1259.91,430.91,0.0,4048.35,2083.08,346.42
2077-10-12,1288.97,827.39,587.87,0.01,446.2,114.58,25124.29,1232.73,645.45,0.0,2943.81,2791.62,377.16
2077-10-13,2105.25,743.68,541.81,0.01,446.2,113.45,24810.14,1214.09,510.73,0.0,3850.89,2437.13,375.34
2077-10-14,1583.98,741.49,473.81,0.01,446.2,115.56,25427.73,1240.64,282.27,0.0,3362.1,2636.88,418.09
2077-10-15,1612.16,780.7,734.0,0.01,446.2,113.84,24587.53,1201.82,188.64,0.0,3598.51,2298.05,424.86
2077-10-16,1674.04,539.1,494.07,0.01,446.2,114.26,22513.99,1101.64,204.09,0.0,3541.73,1835.0,417.26
2077-10-17,1207.51,467.4,456.37,0.01,446.2,114.03,21392.49,1038.91,107.55,0.0,2789.97,1817.53,338.5
2077-10-18,1136.36,739.98,444.1,0.01,446.2,114.4,23348.47,1132.73,26.91,0.0,2359.27,2042.92,332.38
2077-10-19,1081.91,626.34,438.24,0.01,446.2,113.39,24291.03,1175.91,0.0,0.0,2663.54,1698.79,286.33
2077-10-20,1068.6,496.09,404.74,0.01,460.0,113.18,23064.28,1122.09,0.0,0.0,2394.88,1706.34,312.91
2077-10-21,1102.11,589.76,388.09,0.01,460.0,116.23,22003.54,1066.64,0.0,0.0,2882.61,1603.55,346.2
2077-10-22,1186.96,503.15,386.31,0.01,460.0,114.01,23305.08,1129.91,0.0,0.0,2380.86,1685.5,349.6
2077-10-23,1101.49,553.11,401.18,0.01,460.0,113.98,22152.87,1072.45,0.0,0.0,2289.98,1814.18,286.98
2077-10-24,1201.01,542.61,384.44,0.01,460.0,113.06,22886.43,1103.0,0.0,0.0,2355.87,1499.22,297.71
2077-10-25,1086.21,600.19,358.76,0.01,460.0,114.51,22908.48,1107.27,0.0,0.0,2090.0,1627.03,310.58
2077-10-26,1089.34,565.63,406.96,0.01,460.0,114.01,21729.85,1050.36,0.0,0.0,2117.6,1820.19,318.92
2077-10-27,991.93,545.33,396.31,0.01,460.0,116.56,22013.17,1064.55,0.0,0.0,2528.85,1564.46,287.96
