Date,Input_Hoa_Binh,Yen_Bai,Vu_Quang,Evaporation,Demand,H_Up (m),Energy_demand,Qtu_(m3/s),Qbot_(m3/s),Qspill_(m3/s),Q_Sơn Tây,Q_Hà Nội,H Hà Nội
2077-09-30,2166.52,949.94,735.56,0.01,370.0,122.05,30477.35,1495.64,33.64,0.0,5071.6,4220.31,465.11
2077-10-01,1924.17,803.16,842.64,0.01,370.0,123.42,29763.38,1458.45,63.64,0.0,3085.93,2653.24,423.87
2077-10-02,1948.51,1106.07,1011.99,0.01,370.0,124.24,29307.68,1439.64,0.0,0.0,2881.04,2262.74,446.54
2077-10-03,1912.3,924.52,712.83,0.01,370.0,124.37,26994.76,1317.82,0.0,0.0,3937.51,2243.67,429.5
2077-10-04,1763.49,1202.02,574.17,0.01,370.0,124.73,26486.05,1294.18,80.91,0.0,3142.47,2486.95,334.3
2077-10-05,4163.64,656.01,788.49,0.01,370.0,126.8,26843.58,1319.27,784.55,0.0,3180.84,2518.74,451.8
2077-10-06,2201.75,1020.8,887.76,0.01,370.0,125.02,27089.98,1328.36,368.64,0.0,4750.5,1785.56,323.22
2077-10-07,1563.94,948.1,435.48,0.01,370.0,124.08,27381.87,1339.45,16.36,0.0,3119.82,2816.14,461.13
2077-10-08,1801.44,850.07,673.19,0.01,370.0,126.01,27089.31,1322.36,0.0,0.0,3836.03,2039.9,435.67
2077-10-09,1705.59,899.06,678.11,0.01,370.0,126.46,27496.76,1339.73,33.64,0.0,3271.89,2482.46,338.73
2077-10-10,2100.2,1047.62,723.92,0.01,388.0,123.06,27024.86,1312.91,195.45,0.0,3025.46,2320.99,365.55
2077-10-11,2714.16,781.66,806.11,0.01,388.0,125.81,25839.04,1259.91,430.91,0.0,4048.35,2083.08,346.42
2077-10-12,1668.08,1070.74,760.78,0.01,388.0,126.04,25124.29,1232.73,645.45,0.0,2943.81,2791.62,377.16
2077-10-13,2724.44,962.41,701.17,0.01,388.0,124.79,24810.14,1214.09,510.73,0.0,3850.89,2437.13,375.34
2077-10-14,2049.85,959.58,613.16,0.01,388.0,127.12,25427.73,1240.64,282.27,0.0,3362.1,2636.88,418.09
2077-10-15,2086.33,1010.32,949.88,0.01,388.0,125.22,24587.53,1201.82,188.64,0.0,3598.51,2298.05,424.86
2077-10-16,2166.4,697.66,639.39,0.01,388.0,125.68,22513.99,1101.64,204.09,0.0,3541.73,1835.0,417.26
2077-10-17,1562.66,604.88,590.6,0.01,388.0,125.44,21392.49,1038.91,107.55,0.0,2789.97,1817.53,338.5
2077-10-18,1470.59,957.62,574.72,0.01,388.0,125.85,23348.47,1132.73,26.91,0.0,2359.27,2042.92,332.38
2077-10-19,1400.12,810.56,567.14,0.01,388.0,124.73,24291.03,1175.91,0.0,0.0,2663.54,1698.79,286.33
2077-10-20,1382.9,642.0,523.78,0.01,400.0,124.5,23064.28,1122.09,0.0,0.0,2394.88,1706.34,312.91
2077-10-21,1426.27,763.22,502.23,0.01,400.0,127.85,22003.54,1066.64,0.0,0.0,2882.61,1603.55,346.2
2077-10-22,1536.07,651.14,499.93,0.01,400.0,125.41,23305.08,1129.91,0.0,0.0,2380.86,1685.5,349.6
2077-10-23,1425.46,715.79,519.17,0.01,400.0,125.38,22152.87,1072.45,0.0,0.0,2289.98,1814.18,286.98
2077-10-24,1554.25,702.2,497.51,0.01,400.0,124.37,22886.43,1103.0,0.0,0.0,2355.87,1499.22,297.71
2077-10-25,1405.68,776.72,464.28,0.01,400.0,125.96,22908.48,1107.27,0.0,0.0,2090.0,1627.03,310.58
2077-10-26,1409.74,731.99,526.65,0.01,400.0,125.41,21729.85,1050.36,0.0,0.0,2117.6,1820.19,318.92
2077-10-27,1283.68,705.72,512.88,0.01,400.0,128.22,22013.17,1064.55,0.0,0.0,2528.85,1564.46,287.96
2077-10-28,2555.26,1130.98,834.16,0.01,400.0,127.72,24654.92,1188.91,44.55,0.0,2250.91,1707.4,321.78
2077-10-29,1817.15,977.65,274.05,0.01,400.0,126.1,25688.78,1238.09,86.36,0.0,2275.91,1565.57,314.97
2077-10-30,1364.96,1079.48,727.27,0.01,400.0,129.21,25113.76,1210.73,70.82,0.0,2944.51,2026.16,339.92
2077-10-31,1392.58,758.26,797.16,0.01,174.0,128.0,25464.93,1227.27,339.55,0.0,3351.62,1907.03,370.18
2077-11-01,1725.23,989.76,308.56,0.01,174.0,126.61,25844.15,1256.64,177.91,0.0,3510.6,2522.01,368.22
2077-11-02,1455.55,1027.26,623.72,0.01,174.0,124.2,25706.61,1237.73,161.45,0.0,3557.79,2624.83,341.4
2077-11-03,2076.97,471.02,697.12,0.01,174.0,129.53,27746.65,1342.73,381.55,0.0,2560.48,3194.07,354.55
2077-11-04,2249.42,620.18,269.71,0.01,174.0,125.24,26651.63,1291.18,600.45,0.0,2208.49,2798.72,376.86
2077-11-05,1650.59,327.79,578.07,0.01,174.0,124.83,26876.58,1300.91,485.0,0.0,4865.13,2752.17,366.47
2077-11-06,1288.43,735.94,454.85,0.01,174.0,127.88,24013.58,1162.0,275.45,0.0,2956.53,2487.39,366.1
2077-11-07,1071.99,999.06,1299.37,0.01,174.0,129.55,23046.94,1113.64,205.45,0.0,2721.91,1920.68,462.63
2077-11-08,1416.03,1091.78,996.14,0.01,174.0,128.34,23314.5,1126.55,323.27,6.73,3830.19,2195.58,384.83
2077-11-09,1621.98,744.46,1017.22,0.01,174.0,127.45,23806.45,1149.45,74.09,0.0,3052.43,1778.38,324.34
2077-11-10,1398.88,922.39,767.31,0.01,153.0,127.5,23964.31,1155.55,60.64,0.0,2766.77,1854.95,365.63
2077-11-11,1101.23,450.98,419.35,0.01,153.0,127.75,22861.57,1104.82,128.0,0.0,3475.55,2155.45,308.29
2077-11-12,1327.35,407.26,489.79,0.01,153.0,127.63,22539.59,1089.0,100.91,0.0,2136.7,1385.75,369.87
2077-11-13,1238.42,574.11,590.19,0.01,153.0,127.15,22102.65,1065.09,0.0,0.0,2700.46,1965.53,330.14
2077-11-14,1023.68,581.12,364.93,0.01,153.0,126.98,22235.18,1087.45,0.0,0.0,2208.21,1879.82,297.73
2077-11-15,1056.79,523.49,551.35,0.01,153.0,126.81,21439.51,1036.09,0.0,0.0,2170.2,1466.05,311.65
2077-11-16,1009.09,335.76,456.31,0.01,153.0,126.12,19704.15,952.09,0.0,0.0,2514.72,948.88,226.61
2077-11-17,809.66,519.95,443.26,0.01,153.0,126.53,20453.6,987.55,0.0,0.0,2137.03,1250.71,238.53
2077-11-18,949.82,411.17,544.75,0.01,153.0,125.1,18108.54,877.18,0.0,0.0,2123.42,1635.22,234.8
2077-11-19,966.43,539.89,496.78,0.01,153.0,126.61,17836.99,862.64,0.0,0.0,2140.52,1322.97,276.48
2077-11-20,1045.1,497.22,421.85,0.01,172.0,125.66,18380.64,890.0,0.0,0.0,1753.52,1137.73,318.29
2077-11-21,968.64,405.7,549.62,0.01,172.0,125.48,16477.74,797.82,0.0,0.0,1639.5,1199.19,327.4
2077-11-22,706.13,422.93,347.91,0.01,172.0,126.82,17108.34,828.55,0.0,0.0,1532.12,1329.75,275.08
2077-11-23,745.2,376.76,481.53,0.01,172.0,128.17,17639.42,853.55,0.0,0.0,1374.75,1260.46,266.97
2077-11-24,920.09,420.69,460.15,0.01,172.0,127.63,17679.41,858.55,0.0,0.0,2100.52,1172.99,209.29
2077-11-25,884.45,478.66,388.0,0.01,172.0,124.66,16073.83,780.36,0.0,0.0,1504.88,1155.86,240.51
2077-11-26,968.03,372.13,432.66,0.01,172.0,125.38,15957.42,775.55,0.0,0.0,1629.64,1141.19,233.85
2077-11-27,1255.51,444.89,307.8,0.01,172.0,127.65,16033.8,775.82,0.0,0.0,1572.6,1067.59,234.72
2077-11-28,1033.14,414.48,454.5,0.01,172.0,125.56,14906.1,734.09,0.0,0.0,1614.13,1276.43,242.2
2077-11-29,1056.5,390.56,372.36,0.01,172.0,126.48,15742.38,758.73,0.0,0.0,1656.4,1092.44,232.22
2077-11-30,982.15,402.02,353.28,0.01,149.0,127.3,17317.54,839.27,0.0,0.0,1664.55,1218.97,192.16
2077-12-01,913.32,373.46,443.87,0.01,149.0,125.76,17557.73,790.64,0.0,0.0,1524.31,1242.53,259.47
2077-12-02,762.59,394.88,353.49,0.01,149.0,126.83,18524.11,852.18,0.0,0.0,1578.68,1183.56,214.37
2077-12-03,782.21,345.87,314.86,0.01,149.0,125.29,18696.86,851.82,0.0,0.0,1670.76,1088.79,247.21
2077-12-04,569.92,431.84,298.43,0.01,149.0,125.89,18167.47,820.36,0.0,0.0,1600.97,1182.12,289.98
2077-12-05,630.62,357.46,421.81,0.01,149.0,126.76,17479.4,792.09,0.0,0.0,1750.98,1132.47,224.61
2077-12-06,591.48,334.49,297.34,0.01,149.0,124.56,17308.29,771.55,0.0,0.0,1570.05,1048.26,187.73
2077-12-07,646.52,360.36,468.11,0.01,149.0,126.73,16165.79,742.27,0.0,0.0,1556.92,1101.06,231.49
2077-12-08,853.64,355.69,247.9,0.01,149.0,126.12,16894.44,776.0,0.0,0.0,1510.3,971.23,253.47
2077-12-09,499.11,338.74,442.26,0.01,149.0,126.75,15482.75,728.0,0.0,0.0,1544.82,1084.18,268.24
2077-12-10,706.03,373.83,372.67,0.01,149.0,126.27,17135.54,797.55,0.0,0.0,1428.72,999.74,206.05
2077-12-11,503.13,374.73,339.19,0.01,137.0,127.65,16861.03,791.36,0.0,0.0,1313.13,1004.96,235.1
2077-12-12,586.84,337.96,306.33,0.01,137.0,125.93,15379.04,696.73,0.0,0.0,1473.08,1025.57,218.37
2077-12-13,664.12,369.1,362.57,0.01,137.0,125.12,15700.0,707.82,0.0,0.0,1301.41,966.52,221.92
2077-12-14,776.77,388.84,329.95,0.01,137.0,125.84,15173.19,700.91,0.0,0.0,1332.78,1004.0,276.1
2077-12-15,620.65,242.01,369.5,0.01,137.0,126.38,14620.15,691.45,0.0,0.0,1493.82,966.87,195.17
2077-12-16,569.77,280.64,354.14,0.01,137.0,125.72,14262.4,692.0,0.0,0.0,1557.09,1045.62,227.58
2077-12-17,608.25,426.0,361.47,0.01,137.0,125.63,14587.41,691.0,0.0,0.0,1432.37,891.31,230.56
2077-12-18,640.26,421.24,320.34,0.01,137.0,124.61,13791.34,649.64,0.0,0.0,1437.17,985.08,239.37
2077-12-19,633.0,330.46,336.49,0.01,137.0,124.67,13614.08,632.27,0.0,0.0,1530.65,1067.89,216.55
2077-12-20,630.57,341.26,349.2,0.01,137.0,123.64,13921.07,629.27,0.0,0.0,1344.26,836.87,214.65
2077-12-21,623.09,319.75,257.26,0.01,137.0,127.81,14034.77,675.73,0.0,0.0,1524.02,859.4,201.01
2077-12-22,698.24,399.91,264.21,0.01,137.0,123.71,14457.75,686.09,0.0,0.0,1351.85,921.73,213.29
2077-12-23,647.59,345.01,338.85,0.01,137.0,124.39,13107.8,616.82,0.0,0.0,1189.27,932.24,207.04
2077-12-24,522.06,303.27,320.6,0.01,137.0,124.28,15100.84,710.45,0.0,0.0,1325.03,918.42,220.32
2077-12-25,591.9,272.3,330.8,0.01,137.0,126.51,13336.77,616.82,0.0,0.0,1345.38,939.36,204.57
2077-12-26,585.84,256.37,333.21,0.01,137.0,124.77,13660.33,620.55,0.0,0.0,1394.73,941.44,217.83
2077-12-27,756.1,380.36,377.27,0.01,137.0,126.98,14780.22,664.45,0.0,0.0,1334.16,949.27,206.51
2077-12-28,587.81,305.28,370.39,0.01,137.0,124.17,14904.51,672.64,0.0,0.0,1357.41,957.82,239.45
2077-12-29,593.09,266.23,320.29,0.01,137.0,125.48,14440.66,662.18,0.0,0.0,1251.74,940.82,217.98
2077-12-30,606.01,293.64,363.12,0.01,137.0,123.77,13708.91,623.18,0.0,0.0,1294.78,971.51,169.4
2077-12-31,621.4,282.42,290.69,0.0,137.0,128.2,12682.05,572.64,0.0,0.0,1200.23,1017.97,237.62
2078-01-01,584.92,277.43,412.05,0.0,56.0,124.3,9945.12,455.64,0.0,0.0,1151.28,835.88,198.12
2078-01-02,531.73,294.3,364.56,0.0,56.0,121.36,11741.04,543.64,0.0,0.0,1175.86,869.13,175.01
2078-01-03,643.41,293.24,345.0,0.0,56.0,122.58,13723.48,651.91,0.0,0.0,1204.94,902.05,215.91
2078-01-04,809.33,289.23,418.3,0.0,56.0,126.08,14582.03,690.36,0.0,0.0,1288.01,860.97,194.14
2078-01-05,607.56,360.16,363.24,0.0,56.0,126.09,15029.9,711.18,0.0,0.0,1280.55,782.95,150.73
2078-01-06,673.64,454.73,325.31,0.0,56.0,125.48,14929.04,708.73,11.82,0.0,1341.3,931.7,221.53
2078-01-07,1536.6,253.79,453.55,0.0,56.0,123.18,17254.44,824.18,198.18,0.0,1444.72,1162.57,195.92
2078-01-08,873.67,451.9,427.01,0.0,56.0,124.56,17154.87,823.0,62.55,0.0,1566.52,935.02,220.59
2078-01-09,617.57,484.69,317.77,0.0,56.0,124.54,17175.43,825.27,0.0,0.0,1729.32,1012.51,237.08
2078-01-10,703.79,382.55,349.0,0.0,56.0,122.42,15765.95,759.91,0.0,0.0,1804.78,982.1,225.02
2078-01-11,595.01,246.79,307.75,0.0,533.0,127.02,16094.87,774.0,0.0,0.0,1289.7,845.77,233.18
2078-01-12,585.68,309.25,295.07,0.0,533.0,125.82,15875.2,761.09,0.0,0.0,1163.45,966.34,195.38
2078-01-13,670.79,402.14,383.78,0.0,533.0,123.74,14875.25,711.36,0.0,0.0,1320.04,881.47,219.41
2078-01-14,495.12,305.68,421.51,0.0,533.0,124.12,16597.04,794.36,0.0,0.0,1600.21,914.15,196.86
2078-01-15,465.05,352.4,346.59,0.0,533.0,124.35,16086.5,755.0,0.0,0.0,1255.31,817.22,218.82
2078-01-16,577.02,393.95,552.71,0.0,533.0,119.91,15682.79,730.0,0.0,0.0,1554.07,887.59,217.08
2078-01-17,521.14,289.91,445.83,0.0,533.0,123.26,16561.27,785.91,0.0,0.0,1704.13,1024.23,190.84
2078-01-18,557.31,295.85,484.02,0.0,533.0,122.27,17269.96,820.18,0.0,0.0,1411.49,965.31,235.39
2078-01-19,523.6,204.44,469.98,0.0,533.0,121.46,18052.86,869.18,0.0,0.0,1649.61,1215.8,211.22
2078-01-20,485.85,262.37,432.35,0.0,1207.88,122.71,17090.2,841.45,0.0,0.0,1876.81,1008.78,237.68
2078-01-21,637.58,283.31,512.89,0.0,1230.04,126.68,17102.06,848.18,0.0,0.0,1514.71,1061.3,228.57
2078-01-22,539.09,258.14,427.24,0.0,1325.78,124.24,16542.71,814.18,0.0,0.0,1513.93,1115.09,252.76
2078-01-23,567.52,311.59,492.38,0.0,1223.45,121.66,14956.02,730.73,0.0,0.0,1454.73,894.8,214.21
2078-01-24,502.13,267.98,466.08,0.0,1420.16,123.85,17061.68,847.27,0.0,0.0,1342.08,866.69,209.38
2078-01-25,548.85,276.11,456.51,0.0,1320.02,125.41,17552.86,873.73,0.0,0.0,1426.56,902.32,214.59
2078-01-26,604.48,300.03,415.51,0.0,1301.31,124.29,17489.5,877.45,0.0,0.0,1369.24,1085.46,212.68
