Date,Input_Hoa_Binh,Yen_Bai,Vu_Quang,Evaporation,Demand,H_Up (m),Energy_demand,Qtu_(m3/s),Qbot_(m3/s),Qspill_(m3/s),Q_Sơn Tây,Q_Hà Nội,H Hà Nội
2077-09-30,2265.0,993.12,769.0,0.01,425.5,110.95,30477.35,1495.64,33.64,0.0,5071.6,4220.31,465.11
2077-10-01,2011.63,839.67,880.94,0.01,425.5,112.2,29763.38,1458.45,63.64,0.0,3085.93,2653.24,423.87
2077-10-02,2037.08,1156.35,1057.99,0.01,425.5,112.94,29307.68,1439.64,0.0,0.0,2881.04,2262.74,446.54
2077-10-03,1999.22,966.54,745.24,0.01,425.5,113.07,26994.76,1317.82,0.0,0.0,3937.51,2243.67,429.5
2077-10-04,1843.65,1256.65,600.27,0.01,425.5,113.39,26486.05,1294.18,80.91,0.0,3142.47,2486.95,334.3
2077-10-05,4352.89,685.82,824.33,0.01,425.5,115.27,26843.58,1319.27,784.55,0.0,3180.84,2518.74,451.8
2077-10-06,2301.83,1067.2,928.11,0.01,425.5,113.66,27089.98,1328.36,368.64,0.0,4750.5,1785.56,323.22
2077-10-07,1635.02,991.19,455.27,0.01,425.5,112.8,27381.87,1339.45,16.36,0.0,3119.82,2816.14,461.13
2077-10-08,1883.32,888.71,703.79,0.01,425.5,114.56,27089.31,1322.36,0.0,0.0,3836.03,2039.9,435.67
2077-10-09,1783.12,939.93,708.93,0.01,425.5,114.97,27496.76,1339.73,33.64,0.0,3271.89,2482.46,338.73
2077-10-10,2195.66,1095.24,756.83,0.01,446.2,111.87,27024.86,1312.91,195.45,0.0,3025.46,2320.99,365.55
2077-10-11,2837.53,817.19,842.75,0.01,446.2,114.38,25839.04,1259.91,430.91,0.0,4048.35,2083.08,346.42
2077-10-12,1743.9,1119.41,795.36,0.01,446.2,114.58,25124.29,1232.73,645.45,0.0,2943.81,2791.62,377.16
2077-10-13,2848.27,1006.16,733.04,0.01,446.2,113.45,24810.14,1214.09,510.73,0.0,3850.89,2437.13,375.34
2077-10-14,2143.03,1003.2,641.03,0.01,446.2,115.56,25427.73,1240.64,282.27,0.0,3362.1,2636.88,418.09
2077-10-15,2181.16,1056.24,993.05,0.01,446.2,113.84,24587.53,1201.82,188.64,0.0,3598.51,2298.05,424.86
2077-10-16,2264.88,729.37,668.45,0.01,446.2,114.26,22513.99,1101.64,204.09,0.0,3541.73,1835.0,417.26
2077-10-17,1633.69,632.37,617.45,0.01,446.2,114.03,21392.49,1038.91,107.55,0.0,2789.97,1817.53,338.5
2077-10-18,1537.43,1001.15,600.85,0.01,446.2,114.4,23348.47,1132.73,26.91,0.0,2359.27,2042.92,332.38
2077-10-19,1463.76,847.41,592.92,0.01,446.2,113.39,24291.03,1175.91,0.0,0.0,2663.54,1698.79,286.33
