Date,Input_Hoa_Binh,Yen_Bai,Vu_Quang,Evaporation,Demand,H_Up (m),Energy_demand,Qtu_(m3/s),Qbot_(m3/s),Qspill_(m3/s),Q_Sơn Tây,Q_Hà Nội,H Hà Nội
2077-09-30,1969.56,863.58,668.69,0.01,370.0,122.05,30477.35,1495.64,33.64,0.0,5071.6,4220.31,465.11
2077-10-01,1749.24,730.15,766.04,0.01,370.0,123.42,29763.38,1458.45,63.64,0.0,3085.93,2653.24,423.87
2077-10-02,1771.37,1005.52,919.99,0.01,370.0,124.24,29307.68,1439.64,0.0,0.0,2881.04,2262.74,446.54
2077-10-03,1738.45,840.47,648.03,0.01,370.0,124.37,26994.76,1317.82,0.0,0.0,3937.51,2243.67,429.5
2077-10-04,1603.17,1092.74,521.97,0.01,370.0,124.73,26486.05,1294.18,80.91,0.0,3142.47,2486.95,334.3
2077-10-05,3785.12,596.37,716.81,0.01,370.0,126.8,26843.58,1319.27,784.55,0.0,3180.84,2518.74,451.8
2077-10-06,2001.59,928.0,807.05,0.01,370.0,125.02,27089.98,1328.36,368.64,0.0,4750.5,1785.56,323.22
2077-10-07,1421.76,861.91,395.89,0.01,370.0,124.08,27381.87,1339.45,16.36,0.0,3119.82,2816.14,461.13
2077-10-08,1637.67,772.79,611.99,0.01,370.0,126.01,27089.31,1322.36,0.0,0.0,3836.03,2039.9,435.67
2077-10-09,1550.54,817.33,616.46,0.01,370.0,126.46,27496.76,1339.73,33.64,0.0,3271.89,2482.46,338.73
2077-10-10,1909.27,952.38,658.11,0.01,388.0,123.06,27024.86,1312.91,195.45,0.0,3025.46,2320.99,365.55
2077-10-11,2467.42,710.6,732.82,0.01,388.0,125.81,25839.04,1259.91,430.91,0.0,4048.35,2083.08,346.42
2077-10-12,1516.44,973.4,691.62,0.01,388.0,126.04,25124.29,1232.73,645.45,0.0,2943.81,2791.62,377.16
2077-10-13,2476.76,874.92,637.43,0.01,388.0,124.79,24810.14,1214.09,510.73,0.0,3850.89,2437.13,375.34
2077-10-14,1863.5,872.35,557.42,0.01,388.0,127.12,25427.73,1240.64,282.27,0.0,3362.1,2636.88,418.09
2077-10-15,1896.66,918.47,863.52,0.01,388.0,125.22,24587.53,1201.82,188.64,0.0,3598.51,2298.05,424.86
2077-10-16,1969.46,634.24,581.26,0.01,388.0,125.68,22513.99,1101.64,204.09,0.0,3541.73,1835.0,417.26
2077-10-17,1420.6,549.89,536.91,0.01,388.0,125.44,21392.49,1038.91,107.55,0.0,2789.97,1817.53,338.5
2077-10-18,1336.9,870.57,522.47,0.01,388.0,125.85,23348.47,1132.73,26.91,0.0,2359.27,2042.92,332.38
2077-10-19,1272.83,736.87,515.58,0.01,388.0,124.73,24291.03,1175.91,0.0,0.0,2663.54,1698.79,286.33
2077-10-20,1257.18,583.64,476.16,0.01,400.0,124.5,23064.28,1122.09,0.0,0.0,2394.88,1706.34,312.91
2077-10-21,1296.61,693.83,456.58,0.01,400.0,127.85,22003.54,1066.64,0.0,0.0,2882.61,1603.55,346.2
2077-10-22,1396.42,591.94,454.48,0.01,400.0,125.41,23305.08,1129.91,0.0,0.0,2380.86,1685.5,349.6
2077-10-23,1295.87,650.72,471.98,0.01,400.0,125.38,22152.87,1072.45,0.0,0.0,2289.98,1814.18,286.98
