Date,Input_Hoa_Binh,Yen_Bai,Vu_Quang,Evaporation,Demand,H_Up (m),Energy_demand,Qtu_(m3/s),Qbot_(m3/s),Qspill_(m3/s),Q_Sơn Tây,Q_Hà Nội,H Hà Nội
2001-09-30,1512.0,707.0,634.0,0.01,370.0,104.99,18764.0,981.0,0.0,0.0,2340.0,1900.0,433.0
2001-10-07,1460.57,852.14,693.14,0.01,370.0,105.57,21196.86,1103.14,0.0,0.0,2675.71,2015.71,434.57
2001-10-14,1722.71,1085.71,838.29,0.01,382.86,107.62,18194.0,935.0,0.0,0.0,3120.0,2280.0,484.0
2001-10-21,1676.57,847.43,728.29,0.01,391.43,109.87,16068.57,818.0,0.0,0.0,2330.0,1668.57,413.43
2001-10-28,2294.71,1226.14,767.14,0.01,400.0,112.99,20408.57,1006.71,70.0,0.0,2594.29,1787.14,404.57
2001-11-04,3870.43,1901.43,987.14,0.01,238.57,116.5,34080.43,1659.86,1726.29,0.0,6457.14,4230.0,657.29
2001-11-11,2396.14,1281.43,904.57,0.01,168.0,116.68,34542.71,1667.57,692.0,10.57,4385.71,3362.86,609.29
2001-11-18,1668.14,920.43,536.29,0.01,153.0,116.68,30814.29,1482.57,158.57,0.0,2768.57,2337.14,488.29
2001-11-25,1220.43,661.43,437.29,0.01,169.29,116.59,28341.71,1361.86,0.0,0.0,2085.71,1831.43,422.29
2001-12-02,997.57,568.0,395.71,0.01,162.14,116.06,25067.29,1207.0,0.0,0.0,1781.43,1551.43,385.43
2001-12-09,884.71,507.43,369.86,0.01,149.0,115.53,20591.0,1001.0,0.0,0.0,1492.86,1331.43,357.43
2001-12-16,749.86,464.0,342.43,0.01,138.71,115.14,18151.14,883.43,0.0,0.0,1365.71,1188.57,338.57
2001-12-23,705.57,444.0,313.57,0.01,137.0,114.82,16960.86,828.43,0.0,0.0,1262.86,1050.0,319.71
2001-12-30,632.86,418.0,317.57,0.01,137.0,114.4,16350.86,801.71,0.0,0.0,1215.71,949.0,305.86
2002-01-06,558.0,352.29,321.86,0.0,67.57,113.96,13536.71,667.43,0.0,0.0,1170.0,847.29,291.71
2002-01-13,603.86,363.71,311.14,0.0,260.43,113.52,15141.43,747.29,0.0,0.0,1165.71,837.14,290.29
2002-01-20,553.57,346.29,321.71,0.0,622.1,113.1,15727.29,777.57,0.0,0.0,1194.29,958.14,298.43
2002-01-27,572.57,381.29,326.43,0.0,1117.14,112.29,16952.0,842.43,0.0,0.0,1198.57,1025.43,290.0
2002-02-03,568.14,380.71,369.43,0.0,1071.1,111.61,15739.0,787.43,0.0,0.0,1228.57,1138.57,303.29
2002-02-10,483.29,339.43,326.29,0.0,1066.86,110.74,15565.86,784.57,0.0,0.0,1182.86,1075.71,294.14
2002-02-17,420.43,299.86,297.71,0.0,973.95,109.81,13229.86,676.0,0.0,0.0,1117.14,950.0,276.14
2002-02-24,459.43,359.71,360.86,0.0,973.95,108.95,14655.14,749.86,0.0,0.0,1152.86,961.43,277.86
2002-03-03,398.29,290.57,391.0,0.01,989.38,107.9,16908.14,866.43,0.0,0.0,1198.57,1107.14,298.86
2002-03-10,353.29,308.86,389.29,0.01,771.0,106.21,17285.71,886.43,0.0,0.0,1188.57,1058.57,291.57
2002-03-17,349.43,294.57,377.57,0.01,264.0,104.65,16104.14,844.43,0.0,0.0,1202.86,1056.71,291.57
2002-03-24,405.86,314.29,422.14,0.01,284.71,103.04,16080.71,851.71,0.0,0.0,1065.71,1065.57,292.71
2002-03-31,303.14,255.0,372.86,0.01,282.71,101.24,16120.71,868.29,0.0,0.0,1184.29,1047.57,290.57
2002-04-07,409.86,350.71,606.0,0.01,245.0,99.56,16100.57,890.86,0.0,0.0,1361.43,1148.86,318.71
2002-04-14,271.86,268.29,388.57,0.01,253.57,97.34,15615.0,893.29,0.0,0.0,1192.86,1013.43,289.43
2002-04-21,289.57,241.71,474.57,0.01,242.71,95.01,16389.0,973.29,0.0,0.0,1222.86,1042.86,295.29
2002-04-28,328.86,314.14,500.14,0.01,139.0,92.57,14910.29,916.71,0.0,0.0,1201.43,1037.14,294.43
2002-05-05,415.14,368.86,712.86,0.01,219.57,90.05,16865.14,1075.57,0.0,0.0,1491.43,1271.43,343.86
2002-05-12,644.86,502.29,1137.43,0.01,241.14,87.31,15981.14,1054.29,0.0,0.0,1867.14,1557.14,376.14
2002-05-19,2339.14,1223.43,2431.43,0.01,252.0,87.91,27794.14,1822.29,0.0,0.0,4832.86,3364.29,576.57
