Date,Input_Hoa_Binh,Yen_Bai,Vu_Quang,Evaporation,Demand,H_Up (m),Energy_demand,Qtu_(m3/s),Qbot_(m3/s),Qspill_(m3/s),Q_Sơn Tây,Q_Hà Nội,H Hà Nội
2077-09-30,1575.65,690.87,534.95,0.01,370.0,110.95,30477.35,1495.64,33.64,0.0,5071.6,4220.31,465.11
2077-10-01,1399.39,584.12,612.83,0.01,370.0,112.2,29763.38,1458.45,63.64,0.0,3085.93,2653.24,423.87
2077-10-02,1417.1,804.42,735.99,0.01,370.0,112.94,29307.68,1439.64,0.0,0.0,2881.04,2262.74,446.54
2077-10-03,1390.76,672.38,518.43,0.01,370.0,113.07,26994.76,1317.82,0.0,0.0,3937.51,2243.67,429.5
2077-10-04,1282.54,874.19,417.58,0.01,370.0,113.39,26486.05,1294.18,80.91,0.0,3142.47,2486.95,334.3
2077-10-05,3028.1,477.1,573.45,0.01,370.0,115.27,26843.58,1319.27,784.55,0.0,3180.84,2518.74,451.8
2077-10-06,1601.27,742.4,645.64,0.01,370.0,113.66,27089.98,1328.36,368.64,0.0,4750.5,1785.56,323.22
2077-10-07,1137.41,689.53,316.71,0.01,370.0,112.8,27381.87,1339.45,16.36,0.0,3119.82,2816.14,461.13
2077-10-08,1310.14,618.23,489.59,0.01,370.0,114.56,27089.31,1322.36,0.0,0.0,3836.03,2039.9,435.67
2077-10-09,1240.43,653.86,493.17,0.01,370.0,114.97,27496.76,1339.73,33.64,0.0,3271.89,2482.46,338.73
2077-10-10,1527.42,761.9,526.49,0.01,388.0,111.87,27024.86,1312.91,195.45,0.0,3025.46,2320.99,365.55
2077-10-11,1973.94,568.48,586.26,0.01,388.0,114.38,25839.04,1259.91,430.91,0.0,4048.35,2083.08,346.42
2077-10-12,1213.15,778.72,553.29,0.01,388.0,114.58,25124.29,1232.73,645.45,0.0,2943.81,2791.62,377.16
