Date,Input_Hoa_Binh,Yen_Bai,Vu_Quang,Evaporation,Demand,H_Up (m),Energy_demand,Qtu_(m3/s),Qbot_(m3/s),Qspill_(m3/s),Q_Sơn Tây,Q_Hà Nội,H Hà Nội
2077-09-30,2363.48,1036.3,802.43,0.01,370.0,133.14,30477.35,1495.64,33.64,0.0,5071.6,4220.31,465.11
2077-10-01,2099.09,876.17,919.24,0.01,370.0,134.64,29763.38,1458.45,63.64,0.0,3085.93,2653.24,423.87
2077-10-02,2125.65,1206.63,1103.99,0.01,370.0,135.53,29307.68,1439.64,0.0,0.0,2881.04,2262.74,446.54
2077-10-03,2086.14,1008.56,777.64,0.01,370.0,135.68,26994.76,1317.82,0.0,0.0,3937.51,2243.67,429.5
2077-10-04,1923.8,1311.29,626.37,0.01,370.0,136.07,26486.05,1294.18,80.91,0.0,3142.47,2486.95,334.3
2077-10-05,4542.15,715.64,860.17,0.01,370.0,138.33,26843.58,1319.27,784.55,0.0,3180.84,2518.74,451.8
2077-10-06,2401.91,1113.59,968.47,0.01,370.0,136.39,27089.98,1328.36,368.64,0.0,4750.5,1785.56,323.22
2077-10-07,1706.11,1034.29,475.06,0.01,370.0,135.36,27381.87,1339.45,16.36,0.0,3119.82,2816.14,461.13
2077-10-08,1965.21,927.35,734.39,0.01,370.0,137.47,27089.31,1322.36,0.0,0.0,3836.03,2039.9,435.67
2077-10-09,1860.64,980.79,739.75,0.01,370.0,137.96,27496.76,1339.73,33.64,0.0,3271.89,2482.46,338.73
2077-10-10,2291.13,1142.86,789.73,0.01,388.0,134.25,27024.86,1312.91,195.45,0.0,3025.46,2320.99,365.55
2077-10-11,2960.9,852.72,879.39,0.01,388.0,137.25,25839.04,1259.91,430.91,0.0,4048.35,2083.08,346.42
2077-10-12,1819.73,1168.08,829.94,0.01,388.0,137.5,25124.29,1232.73,645.45,0.0,2943.81,2791.62,377.16
2077-10-13,2972.11,1049.9,764.91,0.01,388.0,136.14,24810.14,1214.09,510.73,0.0,3850.89,2437.13,375.34
2077-10-14,2236.2,1046.82,668.9,0.01,388.0,138.68,25427.73,1240.64,282.27,0.0,3362.1,2636.88,418.09
2077-10-15,2275.99,1102.17,1036.23,0.01,388.0,136.61,24587.53,1201.82,188.64,0.0,3598.51,2298.05,424.86
2077-10-16,2363.35,761.08,697.52,0.01,388.0,137.11,22513.99,1101.64,204.09,0.0,3541.73,1835.0,417.26
2077-10-17,1704.72,659.87,644.29,0.01,388.0,136.84,21392.49,1038.91,107.55,0.0,2789.97,1817.53,338.5
2077-10-18,1604.28,1044.68,626.97,0.01,388.0,137.29,23348.47,1132.73,26.91,0.0,2359.27,2042.92,332.38
2077-10-19,1527.4,884.25,618.7,0.01,388.0,136.07,24291.03,1175.91,0.0,0.0,2663.54,1698.79,286.33
2077-10-20,1508.62,700.37,571.39,0.01,400.0,135.82,23064.28,1122.09,0.0,0.0,2394.88,1706.34,312.91
2077-10-21,1555.93,832.6,547.89,0.01,400.0,139.47,22003.54,1066.64,0.0,0.0,2882.61,1603.55,346.2
2077-10-22,1675.71,710.33,545.38,0.01,400.0,136.82,23305.08,1129.91,0.0,0.0,2380.86,1685.5,349.6
2077-10-23,1555.04,780.86,566.37,0.01,400.0,136.78,22152.87,1072.45,0.0,0.0,2289.98,1814.18,286.98
2077-10-24,1695.55,766.04,542.74,0.01,400.0,135.68,22886.43,1103.0,0.0,0.0,2355.87,1499.22,297.71
2077-10-25,1533.47,847.33,506.49,0.01,400.0,137.41,22908.48,1107.27,0.0,0.0,2090.0,1627.03,310.58
2077-10-26,1537.9,798.54,574.53,0.01,400.0,136.81,21729.85,1050.36,0.0,0.0,2117.6,1820.19,318.92
2077-10-27,1400.37,769.88,559.5,0.01,400.0,139.88,22013.17,1064.55,0.0,0.0,2528.85,1564.46,287.96
2077-10-28,2787.55,1233.8,910.0,0.01,400.0,139.33,24654.92,1188.91,44.55,0.0,2250.91,1707.4,321.78
2077-10-29,1982.34,1066.52,298.97,0.01,400.0,137.56,25688.78,1238.09,86.36,0.0,2275.91,1565.57,314.97
2077-10-30,1489.05,1177.61,793.38,0.01,400.0,140.95,25113.76,1210.73,70.82,0.0,2944.51,2026.16,339.92
2077-10-31,1519.18,827.19,869.63,0.01,174.0,139.63,25464.93,1227.27,339.55,0.0,3351.62,1907.03,370.18
2077-11-01,1882.07,1079.73,336.61,0.01,174.0,138.12,25844.15,1256.64,177.91,0.0,3510.6,2522.01,368.22
2077-11-02,1587.87,1120.64,680.42,0.01,174.0,135.49,25706.61,1237.73,161.45,0.0,3557.79,2624.83,341.4
2077-11-03,2265.79,513.84,760.5,0.01,174.0,141.31,27746.65,1342.73,381.55,0.0,2560.48,3194.07,354.55
2077-11-04,2453.92,676.57,294.23,0.01,174.0,136.63,26651.63,1291.18,600.45,0.0,2208.49,2798.72,376.86
2077-11-05,1800.65,357.59,630.63,0.01,174.0,136.18,26876.58,1300.91,485.0,0.0,4865.13,2752.17,366.47
2077-11-06,1405.56,802.85,496.2,0.01,174.0,139.51,24013.58,1162.0,275.45,0.0,2956.53,2487.39,366.1
2077-11-07,1169.44,1089.89,1417.49,0.01,174.0,141.33,23046.94,1113.64,205.45,0.0,2721.91,1920.68,462.63
2077-11-08,1544.76,1191.03,1086.69,0.01,174.0,140.0,23314.5,1126.55,323.27,6.73,3830.19,2195.58,384.83
2077-11-09,1769.43,812.14,1109.7,0.01,174.0,139.03,23806.45,1149.45,74.09,0.0,3052.43,1778.38,324.34
2077-11-10,1526.05,1006.25,837.07,0.01,153.0,139.09,23964.31,1155.55,60.64,0.0,2766.77,1854.95,365.63
2077-11-11,1201.34,491.98,457.47,0.01,153.0,139.37,22861.57,1104.82,128.0,0.0,3475.55,2155.45,308.29
2077-11-12,1448.02,444.28,534.31,0.01,153.0,139.23,22539.59,1089.0,100.91,0.0,2136.7,1385.75,369.87
2077-11-13,1351.01,626.3,643.84,0.01,153.0,138.71,22102.65,1065.09,0.0,0.0,2700.46,1965.53,330.14
2077-11-14,1116.75,633.94,398.11,0.01,153.0,138.53,22235.18,1087.45,0.0,0.0,2208.21,1879.82,297.73
2077-11-15,1152.86,571.08,601.48,0.01,153.0,138.33,21439.51,1036.09,0.0,0.0,2170.2,1466.05,311.65
2077-11-16,1100.82,366.28,497.8,0.01,153.0,137.58,19704.15,952.09,0.0,0.0,2514.72,948.88,226.61
2077-11-17,883.27,567.22,483.56,0.01,153.0,138.03,20453.6,987.55,0.0,0.0,2137.03,1250.71,238.53
2077-11-18,1036.17,448.55,594.28,0.01,153.0,136.47,18108.54,877.18,0.0,0.0,2123.42,1635.22,234.8
2077-11-19,1054.29,588.97,541.94,0.01,153.0,138.12,17836.99,862.64,0.0,0.0,2140.52,1322.97,276.48
2077-11-20,1140.11,542.42,460.2,0.01,172.0,137.08,18380.64,890.0,0.0,0.0,1753.52,1137.73,318.29
2077-11-21,1056.7,442.58,599.59,0.01,172.0,136.89,16477.74,797.82,0.0,0.0,1639.5,1199.19,327.4
2077-11-22,770.32,461.38,379.53,0.01,172.0,138.35,17108.34,828.55,0.0,0.0,1532.12,1329.75,275.08
2077-11-23,812.94,411.01,525.3,0.01,172.0,139.82,17639.42,853.55,0.0,0.0,1374.75,1260.46,266.97
