Day_month,Date,Input_Hoa_Binh,Yen_Bai,Vu_Quang,Evaporation,Demand,H_Up (m),Energy_demand,Qtu_(m3/s),Qbot_(m3/s),Qspill_(m3/s),Q_Sơn Tây,Q_Hà Nội,H Hà Nội
01-01,2021-01-01,283.0,185.0,300.0,0.005,56.0,116.02,3613.84598,187.0,0.0,0.0,890.0,661.0,122.0
01-02,2021-01-02,293.0,185.0,287.0,0.005,56.0,116.06,4028.60054,206.0,0.0,0.0,828.0,689.0,126.0
01-03,2021-01-03,278.0,184.0,287.0,0.005,56.0,116.1,2450.3713700000008,133.0,0.0,0.0,755.0,600.0,112.0
01-04,2021-01-04,303.0,183.0,287.0,0.005,56.0,116.15,4916.96638,247.0,0.0,0.0,700.0,562.0,106.0
01-05,2021-01-05,309.0,180.0,287.0,0.005,56.0,116.2,5002.8087000000005,251.0,0.0,0.0,683.0,515.0,98.0
01-06,2021-01-06,334.0,176.0,286.0,0.005,56.0,116.23,7085.39257,348.0,0.0,0.0,723.0,477.0,92.0
01-07,2021-01-07,364.0,181.0,286.0,0.005,56.0,116.26,4620.354130000001,233.0,0.0,0.0,750.0,396.0,77.0
01-08,2021-01-08,349.0,181.0,286.0,0.005,56.0,116.3,4883.27956,246.0,0.0,0.0,715.0,329.0,63.0
01-09,2021-01-09,362.0,174.0,285.0,0.005,56.0,116.34,4832.5818,243.0,0.0,0.0,700.0,393.0,76.0
01-10,2021-01-10,341.0,171.0,285.0,0.005,56.0,116.37,5791.82186,287.0,0.0,0.0,695.0,425.0,83.0
01-11,2021-01-11,368.0,157.0,286.0,0.005,533.0,116.37,8026.02823,392.0,0.0,0.0,715.0,497.0,96.0
01-12,2021-01-12,332.0,159.0,286.0,0.005,533.0,116.35,8359.50344,407.0,0.0,0.0,780.0,491.0,95.0
01-13,2021-01-13,328.0,170.0,286.0,0.005,533.0,116.3,9641.69147,467.0,0.0,0.0,805.0,519.0,99.0
01-14,2021-01-14,337.0,175.0,286.0,0.005,533.0,116.24,10209.9525,494.0,0.0,0.0,845.0,522.0,100.0
01-15,2021-01-15,301.0,163.0,286.0,0.005,533.0,116.18,10350.03257,501.0,0.0,0.0,868.0,554.0,105.0
01-16,2021-01-16,336.0,159.0,286.0,0.005,533.0,116.13,7499.66547,368.0,0.0,0.0,888.0,550.0,104.0
01-17,2021-01-17,300.0,158.0,287.0,0.005,533.0,116.13,5837.39379,270.0,0.0,0.0,828.0,532.0,101.0
01-18,2021-01-18,354.0,153.0,289.0,0.005,533.0,116.16,7961.937549999999,389.0,0.0,0.0,755.0,498.0,95.0
01-19,2021-01-19,370.0,149.0,287.0,0.005,533.0,116.16,8014.332189999999,392.0,0.0,0.0,760.0,505.0,95.0
01-20,2021-01-20,407.0,162.0,286.0,0.005,1500.0,116.15,7583.75034,372.0,0.0,0.0,775.0,474.0,91.0
01-21,2021-01-21,500.0,168.0,287.0,0.005,1500.0,116.17,9033.35345,452.0,0.0,0.0,770.0,381.0,74.0
01-22,2021-01-22,564.0,182.0,289.0,0.005,1500.0,116.19,11791.1592,568.0,0.0,0.0,848.0,371.0,72.0
01-23,2021-01-23,756.0,270.0,477.0,0.005,1500.0,116.21,18114.59358,863.0,0.0,0.0,1050.0,409.0,80.0
01-24,2021-01-24,685.0,277.0,660.0,0.005,1500.0,116.04,25623.913910000003,1221.0,0.0,0.0,1510.0,651.0,121.0
01-25,2021-01-25,500.0,211.0,681.0,0.005,1500.0,115.74,29091.95528,1393.0,0.0,0.0,2090.0,1100.0,185.0
01-26,2021-01-26,530.0,175.0,689.0,0.0049801526717557,1500.0,115.34,34487.86731,1643.0,0.0,0.0,2260.0,1260.0,205.0
01-27,2021-01-27,605.0,162.0,707.0,0.0049603053435114,1403.3333333333333,114.9,31618.8614,1525.0,0.0,0.0,2430.0,1430.0,226.0
01-28,2021-01-28,592.0,167.0,697.0,0.0049404580152671,1350.0,114.52,27064.461830000004,1310.0,0.0,0.0,2370.0,1530.0,238.0
01-29,2021-01-29,585.0,192.0,715.0,0.0049206106870228,1362.8,114.24,24174.01933,1172.0,0.0,0.0,2300.0,1490.0,232.0
01-30,2021-01-30,619.0,180.0,717.0,0.0049007633587785,1364.6333333333334,113.97,25196.32299,1221.0,0.0,0.0,2230.0,1440.0,227.0
01-31,2021-01-31,587.0,182.0,724.0,0.0048809160305343,1308.8333333333333,113.68,28744.77663,1392.0,0.0,0.0,2250.0,1410.0,223.0
02-01,2021-02-01,532.0,167.0,715.0,0.00486106870229,1333.8333333333333,113.29,32336.888860000006,1572.0,0.0,0.0,2340.0,1450.0,228.0
02-02,2021-02-02,460.0,168.0,672.0,0.0048412213740457,1500.0,112.78,29551.630030000004,1453.0,0.0,0.0,2590.0,1510.0,235.0
02-03,2021-02-03,405.0,169.0,419.0,0.0048213740458014,1500.0,112.4,19098.81333,939.0,0.0,0.0,2390.0,1490.0,232.0
02-04,2021-02-04,321.0,157.0,315.0,0.0048015267175572,1500.0,112.2,16599.119570000003,816.0,0.0,0.0,1740.0,1130.0,189.0
02-05,2021-02-05,341.0,150.0,311.0,0.0048015267175572,1500.0,111.92,25486.04989000001,1244.0,0.0,0.0,1430.0,759.0,138.0
02-06,2021-02-06,327.0,140.0,525.0,0.0048015267175572,1500.0,111.45,33233.43214999999,1649.0,0.0,0.0,1600.0,777.0,141.0
02-07,2021-02-07,307.0,140.0,702.0,0.0048015267175572,1468.6666666666667,110.91,28784.26883,1429.0,0.0,0.0,2040.0,1090.0,183.0
02-08,2021-02-08,320.0,132.0,647.0,0.0048015267175572,1385.7666666666669,110.43,27761.19122,1381.0,0.0,0.0,2400.0,1370.0,219.0
02-09,2021-02-09,331.0,130.0,542.0,0.0048015267175572,1225.0333333333333,109.97,29179.02227,1457.0,0.0,0.0,2440.0,1530.0,238.0
02-10,2021-02-10,296.0,127.0,504.0,0.0048015267175572,1191.7,109.47,21460.3993,1080.0,0.0,0.0,2390.0,1530.0,237.0
02-11,2021-02-11,265.0,124.0,426.0,0.0048015267175572,1185.2666666666669,109.24,5089.48892,269.0,0.0,0.0,2060.0,1370.0,219.0
02-12,2021-02-12,210.0,121.0,281.0,0.0048015267175572,1256.3,109.22,1044.0454,71.0,0.0,0.0,1220.0,940.0,164.0
02-13,2021-02-13,212.0,117.0,268.0,0.0048015267175572,1295.9666666666667,109.24,5705.85602,294.0,0.0,0.0,713.0,590.0,112.0
02-14,2021-02-14,200.0,120.0,277.0,0.0048015267175572,1299.0,109.18,1799.8722000000002,106.0,0.0,0.0,573.0,479.0,92.0
02-15,2021-02-15,170.0,124.0,277.0,0.0048015267175572,1273.7666666666669,109.19,1350.48219,91.0,0.0,0.0,614.0,416.0,80.0
02-16,2021-02-16,190.0,125.0,277.0,0.0048015267175572,1210.0,109.21,1593.8596900000002,97.0,0.0,0.0,553.0,307.0,57.0
02-17,2021-02-17,165.0,126.0,277.0,0.0048015267175572,1294.9333333333334,109.24,938.41977,66.0,0.0,0.0,529.0,297.0,55.0
02-18,2021-02-18,130.0,128.0,277.0,0.0048015267175572,1309.6333333333334,109.26,1141.13053,75.0,0.0,0.0,523.0,293.0,54.0
02-19,2021-02-19,170.0,133.0,277.0,0.0048015267175572,1302.2333333333331,109.28,1873.96374,84.0,0.0,0.0,493.0,207.0,34.0
02-20,2021-02-20,203.0,159.0,276.0,0.0048015267175572,1319.2666666666669,109.32,2322.57113,133.0,0.0,0.0,495.0,227.0,39.0
02-21,2021-02-21,213.0,169.0,277.0,0.0048015267175572,1304.8333333333333,109.34,4159.78996,222.0,0.0,0.0,521.0,235.0,41.0
02-22,2021-02-22,201.0,150.0,277.0,0.0048015267175572,1252.3,109.34,5025.76339,215.0,0.0,0.0,583.0,288.0,53.0
02-23,2021-02-23,171.0,143.0,278.0,0.0048015267175572,1222.2666666666669,109.3,6063.50191,316.0,0.0,0.0,655.0,340.0,64.0
02-24,2021-02-24,187.0,132.0,309.0,0.0048015267175572,1230.3,109.18,22479.44639,1117.0,0.0,0.0,683.0,417.0,80.0
02-25,2021-02-25,192.0,124.0,586.0,0.0049141221374045,1153.6,108.78,20904.91459,1059.0,0.0,0.0,1200.0,644.0,120.0
02-26,2021-02-26,297.0,121.0,606.0,0.0050267175572518,1186.0666666666666,108.59,8091.72713,418.0,0.0,0.0,1840.0,1030.0,175.0
02-27,2021-02-27,349.0,112.0,366.0,0.0051393129770991,1327.6333333333334,108.6,4903.93644,260.0,0.0,0.0,1300.0,926.0,162.0
02-28,2021-02-28,328.0,112.0,282.0,0.0052519083969464,1360.0,108.67,3491.03844,191.0,0.0,0.0,838.0,659.0,123.0
03-01,2021-03-01,323.0,104.0,279.0,0.0054770992366411,1433.3333333333333,108.68,10869.79203,552.0,0.0,0.0,667.0,475.0,91.0
03-02,2021-03-02,355.0,99.3,280.0,0.0055896946564884,771.0,108.61,13627.4505,690.0,0.0,0.0,753.0,426.0,81.0
03-03,2021-03-03,370.0,98.4,294.0,0.0057022900763358,771.0,108.46,11146.8571,568.0,0.0,0.0,952.0,458.0,89.0
03-04,2021-03-04,359.0,100.0,362.0,0.0057022900763358,771.0,108.38,10227.99071,523.0,0.0,0.0,1030.0,481.0,94.0
03-05,2021-03-05,291.0,96.7,380.0,0.0057022900763358,771.0,108.29,12189.13922,620.0,0.0,0.0,1110.0,568.0,108.0
03-06,2021-03-06,249.0,95.0,326.0,0.0057022900763358,771.0,108.14,8652.429100000001,446.0,0.0,0.0,1120.0,652.0,122.0
03-07,2021-03-07,206.0,89.9,302.0,0.0057022900763358,771.0,108.04,4112.94243,222.0,0.0,0.0,951.0,617.0,116.0
03-08,2021-03-08,195.0,89.1,287.0,0.0057022900763358,771.0,108.02,6831.25533,356.0,0.0,0.0,756.0,525.0,100.0
03-09,2021-03-09,180.0,89.9,284.0,0.0057022900763358,771.0,107.92,6808.55409,355.0,0.0,0.0,706.0,449.0,86.0
03-10,2021-03-10,204.0,92.4,287.0,0.0057022900763358,771.0,107.89,6668.49453,348.0,0.0,0.0,723.0,415.0,80.0
03-11,2021-03-11,236.0,97.7,290.0,0.0057022900763358,264.0,107.87,6991.116040000001,364.0,0.0,0.0,713.0,460.0,89.0
03-12,2021-03-12,269.0,99.3,286.0,0.0057022900763358,264.0,107.83,7258.44647,377.0,0.0,0.0,723.0,500.0,97.0
03-13,2021-03-13,255.0,98.4,283.0,0.0057022900763358,264.0,107.75,8592.037100000001,444.0,0.0,0.0,738.0,475.0,92.0
03-14,2021-03-14,259.0,98.4,284.0,0.0057022900763358,264.0,107.67,6670.58714,349.0,0.0,0.0,765.0,458.0,88.0
03-15,2021-03-15,302.0,97.5,282.0,0.0057022900763358,264.0,107.61,10979.25793,561.0,0.0,0.0,735.0,419.0,82.0
03-16,2021-03-16,250.0,101.0,282.0,0.0057022900763358,264.0,107.45,10691.44273,549.0,0.0,0.0,825.0,344.0,66.0
03-17,2021-03-17,200.0,106.0,283.0,0.0057022900763358,264.0,107.27,7895.470440000001,411.0,0.0,0.0,868.0,368.0,71.0
03-18,2021-03-18,165.0,98.4,302.0,0.0057022900763358,264.0,107.15,9335.59307,482.0,0.0,0.0,830.0,369.0,72.0
03-19,2021-03-19,123.0,98.4,307.0,0.0057022900763358,264.0,106.99,8112.73575,423.0,0.0,0.0,885.0,388.0,76.0
03-20,2021-03-20,136.0,96.7,297.0,0.0057022900763358,293.0,106.86,7315.013459999999,383.0,0.0,0.0,835.0,384.0,75.0
03-21,2021-03-21,115.0,99.2,288.0,0.0057022900763358,293.0,106.76,4750.14738,255.0,0.0,0.0,795.0,408.0,79.0
03-22,2021-03-22,131.0,100.0,288.0,0.0057022900763358,293.0,106.68,9851.75046,509.0,0.0,0.0,715.0,394.0,77.0
03-23,2021-03-23,154.0,96.7,281.0,0.0057022900763358,293.0,106.53,13369.09845,686.0,0.0,0.0,765.0,429.0,83.0
03-24,2021-03-24,183.0,96.7,336.0,0.0057786259541984,293.0,106.21,20101.26888,1025.0,0.0,0.0,907.0,576.0,109.0
03-25,2021-03-25,162.0,93.3,497.0,0.005854961832061,293.0,105.8,21538.413270000005,1110.0,0.0,0.0,1280.0,723.0,133.0
03-26,2021-03-26,143.0,89.9,548.0,0.0059312977099236,293.0,105.33,19389.27962,1002.0,0.0,0.0,1660.0,891.0,157.0
03-27,2021-03-27,113.0,87.5,415.0,0.0060076335877862,293.0,105.02,6175.60043,332.0,0.0,0.0,1660.0,1060.0,179.0
03-28,2021-03-28,120.0,85.0,292.0,0.0060839694656488,293.0,104.94,4162.31253,229.0,0.0,0.0,1090.0,813.0,146.0
03-29,2021-03-29,139.0,81.8,274.0,0.0061603053435114,293.0,104.84,10882.80444,567.0,0.0,0.0,705.0,551.0,106.0
03-30,2021-03-30,113.0,87.5,276.0,0.006236641221374,269.0,104.67,9080.14339,478.0,0.0,0.0,721.0,416.0,81.0
03-31,2021-03-31,140.0,107.0,277.0,0.0063129770992366,245.0,104.5,7660.30936,406.0,0.0,0.0,799.0,424.0,82.0
04-01,2021-04-01,156.0,116.0,277.0,0.0063893129770992,245.0,104.41,10637.45775,557.0,0.0,0.0,768.0,369.0,71.0
04-02,2021-04-02,178.0,131.0,281.0,0.0064656488549618,245.0,104.27,8751.26278,463.0,0.0,0.0,818.0,421.0,81.0
04-03,2021-04-03,211.0,132.0,287.0,0.0065419847328244,245.0,104.18,5001.83831,273.0,0.0,0.0,883.0,419.0,82.0
04-04,2021-04-04,208.0,137.0,280.0,0.0065419847328244,245.0,104.16,4497.745749999999,247.0,0.0,0.0,793.0,438.0,85.0
04-05,2021-04-05,250.0,123.0,278.0,0.0065419847328244,245.0,104.16,9155.03323,482.0,0.0,0.0,701.0,478.0,92.0
04-06,2021-04-06,281.0,114.0,279.0,0.0065419847328244,245.0,104.05,12947.14151,677.0,0.0,0.0,813.0,496.0,95.0
04-07,2021-04-07,210.0,116.0,291.0,0.0065419847328244,245.0,103.86,5507.25988,299.0,0.0,0.0,971.0,521.0,100.0
04-08,2021-04-08,200.0,137.0,295.0,0.0065419847328244,245.0,103.79,5794.7885400000005,312.0,0.0,0.0,873.0,542.0,103.0
04-09,2021-04-09,146.0,111.0,289.0,0.0065419847328244,245.0,103.74,5606.72005,305.0,0.0,0.0,773.0,525.0,101.0
04-10,2021-04-10,125.0,104.0,283.0,0.0065419847328244,245.0,103.68,4184.13306,232.0,0.0,0.0,734.0,545.0,104.0
04-11,2021-04-11,115.0,93.3,278.0,0.0065419847328244,260.0,103.59,4358.97506,240.0,0.0,0.0,662.0,459.0,89.0
